Freq (MHz),re(S11),im(S11),re(Z),im(Z)
1982.382,0.39763,-0.85786,4.822,-78.075
1988.188,0.39290,-0.86308,4.522,-77.512
1993.994,0.38127,-0.86408,4.781,-76.504
1999.800,0.37650,-0.87249,4.218,-75.870
2005.606,0.37225,-0.87200,4.377,-75.533
2011.411,0.36132,-0.87636,4.313,-74.526
2017.217,0.35365,-0.88034,4.189,-73.807
2023.023,0.34797,-0.88307,4.112,-73.286
2028.829,0.34547,-0.88721,3.846,-72.988
2034.635,0.33988,-0.89056,3.718,-72.471
2040.440,0.33232,-0.89418,3.614,-71.801
2046.246,0.32835,-0.89410,3.709,-71.498
2052.052,0.32101,-0.89918,3.483,-70.827
2057.858,0.31572,-0.90634,3.058,-70.276
2063.664,0.30412,-0.90970,3.048,-69.347
2069.469,0.30785,-0.91395,2.660,-69.535
2075.275,0.29915,-0.91471,2.780,-68.885
2081.081,0.29537,-0.91735,2.662,-68.560
2086.887,0.29402,-0.92173,2.372,-68.378
2092.693,0.29058,-0.92662,2.091,-68.039
2098.498,0.28055,-0.93045,2.008,-67.261
2104.304,0.27605,-0.93561,1.730,-66.854
2110.110,0.27380,-0.94137,1.375,-66.596
2115.916,0.27099,-0.94261,1.340,-66.382
2121.722,0.26632,-0.94872,1.008,-65.959
2127.528,0.26777,-0.95307,0.690,-65.979
2133.333,0.26465,-0.95588,0.559,-65.721
2139.139,0.25499,-0.95788,0.593,-65.048
2144.945,0.25668,-0.96091,0.365,-65.108
2150.751,0.25531,-0.96180,0.330,-65.003
2156.557,0.25180,-0.96467,0.201,-64.726
2162.362,0.25007,-0.96475,0.225,-64.613
2168.168,0.24856,-0.96692,0.109,-64.479
2173.974,0.24515,-0.96860,0.057,-64.232
2179.780,0.24391,-0.96998,-0.012,-64.130
2185.586,0.24449,-0.97015,-0.032,-64.164
2191.391,0.23747,-0.97334,-0.124,-63.665
2197.197,0.23356,-0.97113,0.077,-63.451
2203.003,0.23621,-0.96967,0.130,-63.642
2208.809,0.22637,-0.97020,0.242,-63.009
2214.615,0.22749,-0.96820,0.353,-63.109
2220.420,0.22493,-0.97108,0.208,-62.905
2226.226,0.22079,-0.97189,0.215,-62.632
2232.032,0.22074,-0.96896,0.401,-62.670
2237.838,0.21351,-0.96816,0.549,-62.225
2243.644,0.20567,-0.96583,0.795,-61.762
2249.449,0.20119,-0.96689,0.784,-61.469
2255.255,0.18752,-0.97236,0.603,-60.560
2261.061,0.20132,-0.96626,0.821,-61.485
2266.867,0.20093,-0.96514,0.896,-61.474
2272.673,0.19154,-0.96529,0.994,-60.886
2278.478,0.18940,-0.96762,0.873,-60.728
2284.284,0.18446,-0.96741,0.940,-60.426
2290.090,0.17813,-0.96372,1.231,-60.074
2295.896,0.17569,-0.96632,1.096,-59.898
2301.702,0.16660,-0.96744,1.114,-59.334
2307.508,0.15835,-0.96747,1.184,-58.835
2313.313,0.16773,-0.97102,0.886,-59.369
2319.119,0.14914,-0.97074,1.063,-58.258
2324.925,0.15219,-0.97026,1.067,-58.443
2330.731,0.14513,-0.97519,0.831,-57.985
2336.537,0.14711,-0.98189,0.421,-58.047
2342.342,0.14347,-0.97882,0.630,-57.859
2348.148,0.14282,-0.98186,0.458,-57.797
2353.954,0.13712,-0.98798,0.148,-57.419
2359.760,0.13116,-0.98637,0.285,-57.088
2365.566,0.13170,-0.98945,0.105,-57.096
2371.371,0.13027,-0.99511,-0.207,-56.972
2377.177,0.12271,-0.99187,0.033,-56.567
