Freq (MHz),re(S11),im(S11),re(Z),im(Z)
4252.452,0.32260,-0.26607,77.892,-50.234
4258.258,0.34426,-0.26047,81.717,-52.320
4264.064,0.36412,-0.26543,83.926,-55.904
4269.870,0.38593,-0.27237,86.076,-60.356
4275.676,0.40344,-0.27695,87.905,-64.022
4281.481,0.42295,-0.27880,90.497,-67.881
4287.287,0.44297,-0.28107,93.092,-72.201
4293.093,0.46129,-0.28661,94.678,-76.973
4298.899,0.47819,-0.29941,94.174,-82.725
4304.705,0.49553,-0.29286,98.260,-86.070
4310.511,0.50819,-0.30657,96.432,-91.278
4316.316,0.52322,-0.31381,96.343,-96.323
4322.122,0.53675,-0.32633,94.273,-101.631
4327.928,0.55053,-0.33127,94.169,-106.257
4333.734,0.54849,-0.33887,91.676,-106.330
4339.540,0.57036,-0.34771,90.639,-113.818
4345.345,0.58332,-0.36286,86.488,-118.856
4351.151,0.59455,-0.36697,85.575,-122.710
4356.957,0.60670,-0.36720,85.845,-126.831
4362.763,0.61506,-0.38114,81.178,-129.885
4368.569,0.62197,-0.38520,79.779,-132.240
4374.374,0.62333,-0.39767,75.548,-132.546
4380.180,0.63566,-0.41675,68.901,-136.004
4385.986,0.63759,-0.41442,69.574,-136.733
4391.792,0.64638,-0.42158,66.792,-139.239
4397.598,0.65023,-0.43159,63.337,-139.849
4403.403,0.65167,-0.43912,60.875,-139.775
4409.209,0.66483,-0.44341,58.485,-143.522
4415.015,0.66015,-0.45659,54.900,-140.934
4420.821,0.66386,-0.46836,51.142,-140.923
4426.627,0.67157,-0.46735,50.658,-143.233
4432.432,0.68338,-0.47170,48.100,-146.151
4438.238,0.67582,-0.48660,44.825,-142.334
4444.044,0.69053,-0.48954,42.264,-145.949
4449.850,0.68448,-0.50170,39.825,-142.831
4455.656,0.68934,-0.50458,38.479,-143.709
4461.461,0.69029,-0.51544,35.649,-142.545
4467.267,0.68472,-0.52103,35.011,-140.488
4473.073,0.69387,-0.53203,31.251,-141.209
4478.879,0.70075,-0.53323,30.037,-142.619
4484.685,0.70102,-0.54198,28.036,-141.460
4490.490,0.70215,-0.54507,27.200,-141.277
4496.296,0.70742,-0.55941,23.413,-140.364
4502.102,0.71176,-0.55593,23.505,-141.769
4507.908,0.72609,-0.57207,18.088,-142.202
4513.714,0.71015,-0.57980,18.982,-137.988
4519.520,0.70777,-0.58546,18.253,-136.737
4525.325,0.72017,-0.58439,16.656,-139.201
4531.131,0.71934,-0.59058,15.643,-138.131
4536.937,0.71610,-0.59400,15.499,-137.045
4542.743,0.72271,-0.60307,12.936,-136.880
4548.549,0.72462,-0.60525,12.280,-136.884
4554.354,0.72717,-0.60984,11.127,-136.631
4560.160,0.72537,-0.61925,9.846,-134.945
4565.966,0.73298,-0.61411,9.547,-136.946
4571.772,0.73738,-0.62003,7.922,-136.749
4577.578,0.74651,-0.61221,7.735,-139.437
4583.383,0.74058,-0.61497,8.233,-138.046
4589.189,0.72825,-0.62957,7.792,-133.892
4594.995,0.74622,-0.62272,6.122,-137.713
4600.801,0.75291,-0.62279,5.042,-138.730
4606.607,0.74623,-0.63155,4.780,-136.329
4612.412,0.76399,-0.64502,0.029,-136.730
4618.218,0.74905,-0.62668,5.070,-137.519
4624.024,0.75466,-0.64066,2.130,-136.127
4629.830,0.73951,-0.64944,3.202,-132.640
4635.636,0.74933,-0.64395,2.495,-134.857
4641.441,0.75972,-0.66976,-2.543,-132.281
4647.247,0.75230,-0.64938,1.278,-134.434
4653.053,0.76815,-0.62825,1.700,-140.093
4658.859,0.75201,-0.65367,0.735,-133.734
4664.665,0.75480,-0.66090,-0.655,-133.001
4670.470,0.75309,-0.65866,-0.099,-133.117
4676.276,0.75314,-0.65557,0.306,-133.596
4682.082,0.75471,-0.65032,0.776,-134.619
4687.888,0.75716,-0.65810,-0.648,-133.742
4693.694,0.74556,-0.66922,-0.363,-130.555
4699.499,0.74714,-0.66577,-0.144,-131.267
4705.305,0.74294,-0.66927,0.011,-130.207
4711.111,0.74453,-0.66667,0.121,-130.792
4716.917,0.73896,-0.67397,-0.029,-129.020
4722.723,0.74509,-0.67329,-0.818,-129.904
4728.529,0.74596,-0.67239,-0.828,-130.146
4734.334,0.73664,-0.68045,-0.530,-127.815
4740.140,0.74476,-0.67987,-1.601,-128.917
4745.946,0.73408,-0.67727,0.231,-127.929
4751.752,0.73580,-0.68647,-1.168,-126.880
4757.558,0.72361,-0.69107,-0.107,-124.748
4763.363,0.74298,-0.68789,-2.337,-127.564
4769.169,0.74070,-0.68553,-1.730,-127.614
4774.975,0.73458,-0.69118,-1.581,-126.086
4780.781,0.74778,-0.70110,-4.567,-126.288
4786.587,0.74287,-0.68974,-2.546,-127.292
4792.392,0.75356,-0.68688,-3.723,-128.982
4798.198,0.74444,-0.69962,-3.935,-126.108
4804.004,0.73985,-0.69439,-2.687,-126.285
4809.810,0.74600,-0.68447,-2.347,-128.416
4815.616,0.76984,-0.68879,-6.360,-130.601
4821.421,0.74905,-0.69300,-3.804,-127.572
4827.227,0.74163,-0.70585,-4.269,-124.935
4833.033,0.75686,-0.69372,-5.004,-128.380
4838.839,0.75513,-0.70872,-6.448,-126.052
4844.645,0.76151,-0.70496,-6.940,-127.284
4850.450,0.75433,-0.71029,-6.508,-125.746
4856.256,0.77503,-0.70012,-8.399,-129.464
4862.062,0.75188,-0.70269,-5.320,-126.534
4867.868,0.75872,-0.70263,-6.282,-127.309
4873.674,0.75988,-0.70550,-6.765,-127.028
4879.479,0.76834,-0.69826,-7.198,-129.013
4885.285,0.78316,-0.69424,-9.009,-131.239
4891.091,0.77997,-0.69079,-8.138,-131.428
4896.897,0.77559,-0.70711,-9.224,-128.481
4902.703,0.78938,-0.69239,-9.787,-132.195
4908.509,0.75814,-0.71465,-7.510,-125.550
4914.314,0.76513,-0.69430,-6.281,-129.241
4920.120,0.78339,-0.68397,-7.918,-132.878
4925.926,0.77899,-0.68596,-7.449,-132.071
4931.732,0.77636,-0.67253,-5.479,-133.888
4937.538,0.75898,-0.72417,-8.624,-124.318
4943.343,0.77696,-0.68140,-6.611,-132.554
4949.149,0.76708,-0.69285,-6.406,-129.675
4954.955,0.77314,-0.68700,-6.659,-131.248
4960.761,0.77387,-0.70123,-8.345,-129.175
4966.567,0.77870,-0.68149,-6.895,-132.740
4972.372,0.76901,-0.68629,-5.948,-130.885
4978.178,0.77243,-0.68187,-5.960,-131.957
4983.984,0.77531,-0.68277,-6.511,-132.150
4989.790,0.77336,-0.68076,-5.975,-132.237
4995.596,0.76896,-0.68944,-6.301,-130.401
5001.401,0.76826,-0.68356,-5.516,-131.212
5007.207,0.77645,-0.69061,-7.573,-131.066
5013.013,0.77197,-0.68954,-6.769,-130.728
5018.819,0.75526,-0.69466,-4.883,-128.059
5024.625,0.73585,-0.68349,-0.804,-127.294
5030.430,0.77324,-0.68873,-6.870,-130.995
5036.236,0.79047,-0.68101,-8.727,-134.142
5042.042,0.75875,-0.70251,-6.273,-127.329
5047.848,0.75280,-0.70948,-6.207,-125.689
5053.654,0.76215,-0.69674,-6.118,-128.546
5059.459,0.78421,-0.69801,-9.573,-130.766
5065.265,0.76363,-0.70005,-6.704,-128.227
5071.071,0.77403,-0.69419,-7.601,-130.252
5076.877,0.78247,-0.70208,-9.735,-129.958
5082.683,0.78574,-0.70389,-10.422,-130.021
