Freq (MHz),re(S11),im(S11),re(Z),im(Z)
1750.150,-0.09442,0.97655,0.870,45.391
1755.956,-0.08972,0.97815,0.820,45.617
1761.762,-0.08566,0.97477,0.998,45.789
1767.568,-0.08474,0.97693,0.902,45.843
1773.373,-0.08154,0.97501,1.007,45.983
1779.179,-0.07672,0.97464,1.047,46.208
1784.985,-0.07366,0.97591,1.002,46.358
1790.791,-0.06452,0.97911,0.889,46.806
1796.597,-0.05967,0.97270,1.215,47.012
1802.402,-0.05685,0.97419,1.155,47.154
1808.208,-0.05711,0.97247,1.237,47.135
1814.014,-0.05564,0.97229,1.252,47.205
1819.820,-0.04682,0.97462,1.171,47.642
1825.626,-0.04124,0.97115,1.360,47.903
1831.431,-0.03551,0.97013,1.430,48.183
1837.237,-0.03427,0.96751,1.564,48.236
1843.043,-0.03296,0.97080,1.405,48.312
1848.849,-0.02736,0.96983,1.470,48.588
1854.655,-0.01986,0.96745,1.610,48.958
1860.460,-0.01792,0.96625,1.676,49.053
1866.266,-0.00760,0.96306,1.865,49.572
1872.072,-0.00322,0.96122,1.969,49.794
1877.878,0.00206,0.96117,1.983,50.068
1883.684,0.00782,0.96342,1.876,50.372
1889.489,0.01113,0.96268,1.920,50.544
1895.295,0.01616,0.95890,2.126,50.805
1901.101,0.02151,0.96053,2.045,51.090
1906.907,0.02732,0.96227,1.958,51.401
1912.713,0.03173,0.96084,2.036,51.637
1918.519,0.03834,0.96153,2.000,51.993
1924.324,0.04613,0.96030,2.066,52.417
1930.130,0.04842,0.96358,1.886,52.540
1935.936,0.05412,0.96421,1.846,52.851
1941.742,0.06065,0.96156,1.985,53.214
1947.548,0.06295,0.96292,1.906,53.339
1953.353,0.06823,0.96334,1.874,53.631
1959.159,0.07743,0.96874,1.552,54.132
1964.965,0.08276,0.96416,1.794,54.444
1970.771,0.08005,0.96258,1.891,54.295
1976.577,0.09093,0.96458,1.745,54.905
1982.382,0.09287,0.96688,1.608,55.007
1988.188,0.10093,0.96278,1.812,55.483
1993.994,0.10335,0.96830,1.485,55.599
1999.800,0.10659,0.96541,1.636,55.798
2005.606,0.11324,0.96664,1.534,56.176
2011.411,0.12331,0.96690,1.465,56.760
2017.217,0.12274,0.96620,1.509,56.731
2023.023,0.12819,0.96888,1.319,57.034
2028.829,0.13085,0.96523,1.518,57.213
2034.635,0.13216,0.96399,1.583,57.298
2040.440,0.13948,0.96296,1.597,57.739
2046.246,0.14508,0.96477,1.450,58.060
2052.052,0.14508,0.96451,1.465,58.062
2057.858,0.14985,0.96195,1.583,58.367
2063.664,0.15526,0.96058,1.625,58.704
2069.469,0.15917,0.95620,1.861,58.977
2075.275,0.16359,0.95802,1.714,59.233
2081.081,0.16798,0.95635,1.779,59.516
2086.887,0.16940,0.95548,1.820,59.612
2092.693,0.17612,0.95070,2.059,60.072
2098.498,0.17943,0.95073,2.026,60.279
2104.304,0.18626,0.94671,2.215,60.748
2110.110,0.18972,0.94391,2.360,60.995
2115.916,0.19262,0.94339,2.365,61.186
2121.722,0.19955,0.93721,2.693,61.696
2127.528,0.20236,0.93315,2.929,61.921
2133.333,0.20835,0.92997,3.076,62.349
2139.139,0.21781,0.93104,2.899,62.965
2144.945,0.22354,0.92291,3.378,63.445
2150.751,0.22469,0.92488,3.231,63.500
2156.557,0.23556,0.91867,3.520,64.318
2162.362,0.24192,0.91819,3.470,64.764
2168.168,0.24675,0.91480,3.641,65.145
2173.974,0.25495,0.91212,3.714,65.759
2179.780,0.25910,0.91353,3.554,66.032
2185.586,0.26616,0.90974,3.716,66.592
2191.391,0.27883,0.90643,3.751,67.559
2197.197,0.28145,0.90813,3.583,67.719
2203.003,0.28707,0.90742,3.536,68.141
2208.809,0.29490,0.90507,3.566,68.758
2214.615,0.30445,0.90405,3.459,69.484
2220.420,0.30963,0.90171,3.530,69.917
2226.226,0.31421,0.90173,3.434,70.259
2232.032,0.32027,0.90350,3.173,70.677
2237.838,0.32940,0.90057,3.192,71.432
2243.644,0.33338,0.90028,3.122,71.742
2249.449,0.33954,0.90028,2.976,72.212
2255.255,0.34357,0.90230,2.724,72.471
2261.061,0.35089,0.89800,2.870,73.142
2266.867,0.35674,0.89565,2.901,73.657
2272.673,0.35884,0.89474,2.917,73.845
2278.478,0.36309,0.89347,2.902,74.212
2284.284,0.37090,0.89140,2.850,74.885
2290.090,0.37595,0.89030,2.793,75.317
2295.896,0.37782,0.88772,2.944,75.540
2301.702,0.38847,0.88481,2.861,76.484
2307.508,0.39485,0.88132,2.948,77.111
2313.313,0.39504,0.87667,3.323,77.272
2319.119,0.39992,0.87868,3.003,77.610
2324.925,0.40611,0.87333,3.244,78.297
2330.731,0.41022,0.86910,3.462,78.782
2336.537,0.40835,0.86334,4.012,78.814
2342.342,0.42102,0.85997,3.871,80.015
2348.148,0.42050,0.86053,3.841,79.950
2353.954,0.43132,0.84958,4.409,81.286
2359.760,0.43853,0.84798,4.284,81.984
2365.566,0.44110,0.84420,4.525,82.358
2371.371,0.43830,0.84525,4.536,82.067
2377.177,0.45341,0.83838,4.569,83.701
2382.983,0.45156,0.83278,5.158,83.754
2388.789,0.46241,0.82069,5.851,85.264
2394.595,0.46126,0.82054,5.914,85.160
2400.400,0.46724,0.81754,5.950,85.857
2406.206,0.47773,0.81342,5.892,87.051
2412.012,0.48450,0.80204,6.710,88.233
2417.818,0.48536,0.79731,7.146,88.535
2423.624,0.49714,0.79069,7.270,90.049
2429.429,0.49555,0.78309,8.136,90.249
2435.235,0.51030,0.77646,8.112,92.140
2441.041,0.51892,0.76843,8.531,93.492
2446.847,0.52639,0.76457,8.552,94.523
2452.653,0.53501,0.75896,8.693,95.799
2458.458,0.54997,0.75285,8.498,97.861
2464.264,0.55126,0.74789,8.990,98.315
2470.070,0.55957,0.74466,8.842,99.488
2475.876,0.56653,0.73979,8.960,100.626
2481.682,0.57346,0.73662,8.869,101.666
2487.487,0.58204,0.73147,8.889,103.062
2493.293,0.59315,0.72495,8.872,104.901
2499.099,0.60089,0.72648,8.089,105.736
2504.905,0.60650,0.71531,9.039,107.321
2510.711,0.61588,0.70820,9.177,109.106
2516.517,0.62311,0.70089,9.513,110.674
2522.322,0.62821,0.69913,9.296,111.501
2528.128,0.63579,0.69317,9.401,113.054
2533.934,0.64165,0.68815,9.530,114.318
2539.740,0.64877,0.68173,9.721,115.917
2545.546,0.65885,0.67381,9.809,118.130
2551.351,0.66681,0.66525,10.189,120.173
2557.157,0.67010,0.66265,10.208,120.935
2562.963,0.68040,0.65231,10.570,123.624
2568.769,0.68427,0.64756,10.832,124.766
2574.575,0.68932,0.64212,11.058,126.193
2580.380,0.69539,0.63471,11.459,128.057
2586.186,0.70367,0.62440,12.035,130.714
2591.992,0.71028,0.61890,12.043,132.533
2597.798,0.71558,0.60755,13.203,135.007
2603.604,0.71812,0.60536,13.213,135.757
2609.409,0.71633,0.61583,11.705,133.958
2615.215,0.72842,0.58235,15.775,141.043
2621.021,0.74046,0.57412,15.380,144.625
2626.827,0.74140,0.56768,16.456,145.883
2632.633,0.74831,0.55543,17.684,149.369
2638.438,0.75163,0.54224,19.823,152.438
2644.244,0.75867,0.53128,20.876,156.032
2650.050,0.76217,0.51605,23.663,159.832
2655.856,0.76612,0.51497,23.111,160.982
2661.662,0.77407,0.49455,26.423,167.291
2667.467,0.77602,0.48549,28.351,169.828
2673.273,0.77886,0.47715,29.958,172.520
2679.079,0.78450,0.46052,33.359,178.139
2684.885,0.79212,0.45003,34.592,183.133
2690.691,0.79522,0.43677,38.000,187.692
2696.496,0.79766,0.42502,41.316,191.808
2702.302,0.80519,0.40862,45.064,199.402
2708.108,0.81576,0.39134,48.477,209.171
2713.914,0.82002,0.38022,51.705,214.862
2719.720,0.82552,0.36537,56.431,222.871
2725.526,0.82919,0.35506,60.026,228.711
2731.331,0.83684,0.33827,65.680,239.824
2737.137,0.84324,0.32376,71.150,250.212
2742.943,0.84617,0.31020,78.314,258.746
2748.749,0.84996,0.29612,86.151,268.710
2754.555,0.85669,0.27982,94.997,283.109
2760.360,0.86222,0.26131,107.886,299.434
2766.166,0.86430,0.24931,118.423,309.426
2771.972,0.86650,0.23164,136.767,324.058
2777.778,0.87283,0.21532,153.358,344.326
2783.584,0.87505,0.20187,171.678,358.156
2789.389,0.87767,0.17923,209.780,380.633
2795.195,0.88018,0.16504,238.069,396.770
2801.001,0.88291,0.14950,274.709,414.584
2806.807,0.88401,0.13125,328.053,427.812
2812.613,0.88624,0.11177,397.267,439.448
2818.418,0.88439,0.08893,493.445,418.033
2824.224,0.88457,0.06871,589.657,380.761
2830.030,0.88617,0.05315,671.242,336.799
2835.836,0.88487,0.03321,751.843,231.318
2841.642,0.88340,0.02070,781.450,147.593
2847.447,0.87991,-0.01264,773.615,-86.682
2853.253,0.88036,-0.02199,758.504,-148.572
2859.059,0.87521,-0.04750,649.932,-266.455
