Freq (MHz),re(S11),im(S11),re(Z),im(Z)
5593.594,0.66718,-0.10712,222.256,-87.627
5599.399,0.66823,-0.11615,218.504,-94.001
5605.205,0.67147,-0.14919,202.352,-114.595
5611.011,0.68113,-0.12350,222.698,-105.621
5616.817,0.67241,-0.14255,206.659,-111.684
5622.623,0.67880,-0.14353,209.517,-115.964
5628.428,0.67801,-0.15530,201.958,-121.523
5634.234,0.68493,-0.18909,183.341,-140.042
5640.040,0.68962,-0.16487,201.283,-133.481
5645.846,0.66834,-0.17316,186.927,-123.698
5651.652,0.70069,-0.17951,195.715,-147.369
5657.457,0.71056,-0.20532,179.839,-163.037
5663.263,0.70973,-0.24371,152.063,-169.651
5669.069,0.70911,-0.22477,165.249,-166.324
5674.875,0.70625,-0.21375,172.576,-161.955
5680.681,0.71087,-0.22575,164.870,-167.769
5686.486,0.71410,-0.23911,155.812,-172.130
5692.292,0.71016,-0.23820,155.933,-169.238
5698.098,0.70920,-0.24389,151.881,-169.312
5703.904,0.71699,-0.26404,138.914,-176.250
5709.710,0.71227,-0.26965,135.037,-173.408
5715.516,0.71254,-0.26923,135.317,-173.562
5721.321,0.69787,-0.26423,137.545,-164.015
5727.127,0.70192,-0.27474,131.384,-167.185
5732.933,0.70204,-0.27932,128.632,-167.458
5738.739,0.70094,-0.29795,117.810,-167.187
5744.545,0.69281,-0.29705,118.230,-162.673
5750.350,0.68254,-0.30759,112.472,-157.422
5756.156,0.68964,-0.32141,105.472,-161.003
5761.962,0.68078,-0.32550,103.583,-156.603
5767.768,0.68092,-0.33357,99.745,-156.546
5773.574,0.66993,-0.33147,100.841,-151.479
5779.379,0.66819,-0.34920,92.997,-150.491
5785.185,0.66142,-0.33832,97.788,-147.675
5790.991,0.66129,-0.35718,89.787,-147.409
5796.797,0.65959,-0.36834,85.325,-146.428
5802.603,0.64964,-0.37695,82.289,-142.329
5808.408,0.64912,-0.37718,82.217,-142.128
5814.214,0.64001,-0.38881,78.218,-138.483
5820.020,0.63057,-0.40063,74.393,-134.900
5825.826,0.62919,-0.41331,70.266,-134.052
5831.632,0.61986,-0.41374,70.416,-131.061
5837.437,0.61277,-0.43235,64.947,-128.342
5843.243,0.61263,-0.43429,64.384,-128.235
5849.049,0.62106,-0.43674,63.341,-130.630
5854.855,0.61635,-0.45865,57.300,-128.276
5860.661,0.59731,-0.46639,56.061,-122.839
5866.466,0.59468,-0.47327,54.391,-121.893
5872.272,0.57953,-0.49414,49.880,-117.382
5878.078,0.59044,-0.49328,49.634,-120.000
5883.884,0.58419,-0.49983,48.364,-118.240
5889.690,0.58761,-0.51389,44.989,-118.367
5895.495,0.54659,-0.53275,42.645,-108.856
5901.301,0.56636,-0.52931,42.616,-113.050
5907.107,0.55420,-0.52070,44.878,-110.818
5912.913,0.56157,-0.54881,38.857,-111.227
5918.719,0.55968,-0.55348,38.025,-110.647
5924.525,0.56196,-0.56331,36.026,-110.628
5930.330,0.53222,-0.56222,37.451,-105.106
5936.136,0.54786,-0.57283,34.898,-107.561
5941.942,0.53344,-0.59368,31.833,-104.131
5947.748,0.53213,-0.59195,32.183,-103.977
5953.554,0.53864,-0.59351,31.641,-105.027
5959.359,0.52027,-0.60588,30.326,-101.449
5965.165,0.51979,-0.62249,27.692,-100.711
5970.971,0.50849,-0.61471,29.346,-99.235
5976.777,0.48990,-0.62386,28.549,-96.066
5982.583,0.49847,-0.62863,27.551,-97.204
5988.388,0.49008,-0.62573,28.262,-96.035
5994.194,0.47744,-0.61542,30.170,-94.418
6000.000,0.46550,-0.64136,26.682,-92.013
